"","Iteration","Seconds"
"964","Mid",2417
"965","Mid",2505
"966","Mid",2734
"967","Mid",2262
"968","Mid",2534
"969","Mid",2704
"970","Mid",2691
"971","Mid",2570
"972","Mid",2739
"973","Mid",2632
"974","Mid",2552
"975","Mid",2570
"976","Mid",2726
"977","Mid",2628
"978","Mid",2386
"979","Mid",2386
"980","Mid",2439
"981","Mid",2262
"982","Mid",2742
"983","Mid",2534
"984","Mid",NA
"985","Mid",2548
"986","Mid",2812
"987","Mid",2441
"988","Mid",2604
"989","Mid",2539
"990","Mid",2387
"991","Mid",2812
"992","Mid",2347
"993","Mid",2575
"994","Mid",2691
"995","Mid",2738
"996","Mid",2546
"997","Mid",2449
"998","Mid",2531
"999","Mid",2869
"1000","Mid",2155
"1001","Mid",2812
"1002","Mid",2677
"1003","Mid",2681
"1004","Mid",2515
"1005","Mid",2672
"1006","Mid",2479
"1007","Mid",2566
"1008","Mid",2517
"1009","Mid",2469
"1010","Mid",2675
"1011","Mid",2605
"1012","Mid",2563
"1013","Mid",1915
"1014","Mid",2450
"1015","Mid",2086
"1016","Mid",2507
"1017","Mid",2479
"1018","Mid",1960
"1019","Mid",2523
"1020","Mid",2464
"1021","Mid",2547
"1022","Mid",1716
"1023","Mid",2240
"1024","Mid",2712
"1025","Mid",2348
"1026","Mid",2191
"1027","Mid",2662
"1028","Mid",2360
"1029","Mid",2455
"1030","Mid",2097
"1031","Mid",2137
"1032","Mid",2097
"1033","Mid",2253
"1034","Mid",2320
"1035","Mid",2436
"1036","Mid",2502
"1037","Mid",2498
"1038","Mid",2413
"1039","Mid",2527
"1040","Mid",2178
"1041","Mid",2523
"1042","Mid",2530
"1043","Mid",2253
"1044","Mid",2448
"1045","Mid",2614
"1046","Mid",2264
"1047","Mid",1822
"1048","Mid",2272
"1049","Mid",2473
"1050","Mid",2442
"1051","Mid",2466
"1052","Mid",2500
"1053","Mid",2330
"1054","Mid",1858
"1055","Mid",2665
"1056","Mid",2523
"1057","Mid",2348
"1058","Mid",2393
"1059","Mid",2362
"1060","Mid",2544
"1061","Mid",2164
"1062","Mid",2485
"1063","Mid",2471
"1064","Mid",2458
"1065","Mid",2512
"1066","Mid",2528
"1067","Mid",2504
"1068","Mid",2285
"1069","Mid",2370
"1070","Mid",2151
"1071","Mid",2451
"1072","Mid",1969
"1073","Mid",2289
"1074","Mid",2595
"1075","Mid",2293
"1076","Mid",2448
"1077","Mid",2605
"1078","Mid",2483
"1079","Mid",2195
"1080","Mid",2228
"1081","Mid",2262
"1082","Mid",2339
"1083","Mid",2165
"1084","Mid",2615
"1085","Mid",2540
"1086","Mid",2361
"1087","Mid",2694
"1088","Mid",2162
"1089","Mid",2422
"1090","Mid",2524
"1091","Mid",2460
"1092","Mid",2668
"1093","Mid",2253
"1094","Mid",2547
"1095","Mid",2484
"1096","Mid",2512
"1097","Mid",2547
"1098","Mid",2454
"1099","Mid",2337
"1100","Mid",2507
"1101","Mid",2502
"1102","Mid",2421
"1103","Mid",2515
"1104","Mid",2369
"1105","Mid",2160
"1106","Mid",2572
"1107","Mid",2544
"1108","Mid",2538
"1109","Mid",2119
"1110","Mid",2469
"1111","Mid",2530
"1112","Mid",2490
"1113","Mid",2495
"1114","Mid",1818
"1115","Mid",2425
"1116","Mid",2839
"1117","Mid",2487
"1118","Mid",2453
"1119","Mid",2456
"1120","Mid",2029
"1121","Mid",2483
"1122","Mid",2280
"1123","Mid",2221
"1124","Mid",2768
"1125","Mid",2533
"1126","Mid",2374
"1127","Mid",2140
"1128","Mid",2399
"1129","Mid",2248
"1130","Mid",2401
"1131","Mid",2415
"1132","Mid",2314
"1133","Mid",2647
"1134","Mid",2071
"1135","Mid",2007
"1136","Mid",2235
"1137","Mid",2280
"1138","Mid",2622
"1139","Mid",2215
"1140","Mid",2630
"1141","Mid",2205
"1142","Mid",2280
"1143","Mid",2334
"1144","Mid",1904
"1145","Mid",2468
"1146","Mid",2004
"1147","Mid",2298
"1148","Mid",2493
"1149","Mid",2490
"1150","Mid",2159
"1151","Mid",2381
"1152","Mid",2431
"1153","Mid",2508
"1154","Mid",2346
"1155","Mid",2290
"1156","Mid",2249
"1157","Mid",2466
"1158","Mid",2172
"1159","Mid",2232
"1160","Mid",1904
"1161","Mid",2083
"1162","Mid",2678
"1163","Mid",2346
"1164","Mid",2298
"1165","Mid",2389
"1166","Mid",1740
"1167","Mid",2083
"1168","Mid",2511
"1169","Mid",1740
"1170","Mid",2274
"1171","Mid",2245
"1172","Mid",2449
"1173","Mid",2495
"1174","Mid",2313
"1175","Mid",2313
"1176","Mid",2357
"1177","Mid",2300
"1178","Mid",1975
"1179","Mid",2286
"1180","Mid",2561
"1181","Mid",2470
"1182","Mid",2173
"1183","Mid",2230
"1184","Mid",2334
"1185","Mid",2398
"1186","Mid",2274
"1187","Mid",2310
"1188","Mid",1997
"1189","Final",2630
"1190","Final",2203
